variable,value,WL,Glob_dif,Dir_dif,Difu_dif,DGR_dif
AOD,0.7100000000000001,350,-74.19049999999993,-92.93470000000002,18.74430000000001,-0.0966533579331767
AOD,0.7100000000000001,360,-81.15449999999998,-108.16920000000002,27.014700000000005,-0.10228586796324551
AOD,0.81,310,-10.382999999999996,-9.278410000000001,-1.104600000000005,-0.09407260323728778
AOD,0.81,320,-43.44900000000001,-42.42084,-1.028099999999995,-0.10096332070323949
AOD,0.81,330,-90.94960000000003,-97.92840000000001,6.978800000000035,-0.10892191718887889
AOD,0.81,340,-87.33040000000005,-104.28569999999999,16.95519999999999,-0.11836302909866525
AOD,0.81,350,-91.30469999999991,-116.48190000000002,25.177200000000028,-0.12582406247373978
AOD,0.81,360,-100.01769999999999,-135.5764,35.558599999999956,-0.1330254826068092
AOD,0.91,310,-12.186589999999995,-10.94952,-1.2370700000000028,-0.11484764551030835
AOD,0.91,320,-51.09530000000001,-50.061139999999995,-1.0341999999999985,-0.12299917085240533
AOD,0.91,330,-107.24620000000004,-115.56610000000003,8.319900000000018,-0.13236826654737477
AOD,0.91,340,-103.27250000000004,-123.0683,19.795800000000042,-0.14352950849179058
AOD,0.91,350,-108.07189999999991,-137.46120000000002,29.38929999999999,-0.15248880239277507
AOD,0.91,360,-118.5095,-159.99470000000002,41.48509999999999,-0.1611176175254176
AOD,1.01,310,-13.944869999999995,-12.43839,-1.5064800000000034,-0.1338961549456796
AOD,1.01,320,-58.55930000000001,-56.86826,-1.6911000000000058,-0.14318575138564885
AOD,1.01,330,-123.17550000000006,-131.2803,8.104800000000012,-0.15382746852267315
AOD,1.01,340,-118.8732,-139.80259999999998,20.929400000000044,-0.16654660427017837
AOD,1.01,350,-124.48949999999991,-156.1526,31.663099999999986,-0.17687029425303874
AOD,1.01,360,-136.62529999999992,-181.7501,45.12469999999996,-0.18679898552442425
AOD,1.11,310,-15.65795,-13.764890000000001,-1.8930500000000023,-0.15136679147075538
AOD,1.11,320,-65.84040000000002,-62.93304,-2.9072999999999922,-0.16168424521078595
AOD,1.11,330,-138.7341,-145.28080000000003,6.546700000000044,-0.1734748870693069
AOD,1.11,340,-134.12750000000005,-154.712,20.58449999999999,-0.18760572105497011
AOD,1.11,350,-140.5503,-172.8056,32.25529999999998,-0.19917307484972585
AOD,1.11,360,-154.35519999999997,-201.1331,46.77779999999996,-0.21028693445376656
AOD,1.2100000000000002,310,-17.326189999999997,-14.946741000000001,-2.3794500000000056,-0.16739455411523768
AOD,1.2100000000000002,320,-72.9393,-68.33643000000001,-4.602800000000002,-0.17864040206589946
AOD,1.2100000000000002,330,-153.92210000000006,-157.75460000000004,3.8325000000000387,-0.19146878050915436
AOD,1.2100000000000002,340,-149.03340000000003,-167.9955,18.962199999999996,-0.2068794241625992
AOD,1.2100000000000002,350,-156.25119999999993,-187.64270000000002,31.391500000000008,-0.21958148823009888
AOD,1.2100000000000002,360,-171.6946999999999,-218.40230000000003,46.70749999999998,-0.2317761241905413
AOD,1.31,310,-18.950219999999995,-15.999703,-2.9505100000000013,-0.1821012353793204
AOD,1.31,320,-79.8579,-73.15056999999999,-6.707300000000004,-0.19418622517608242
AOD,1.31,330,-168.74170000000004,-168.86800000000002,0.12630000000001473,-0.20795188933872247
AOD,1.31,340,-163.5919,-179.83040999999997,16.238500000000045,-0.2245235196506475
AOD,1.31,350,-171.5922999999999,-200.8616,29.26940000000002,-0.23826088487819477
AOD,1.31,360,-188.64239999999995,-233.78820000000002,45.14569999999998,-0.25144245001247556
AOD,1.4100000000000001,310,-20.530379999999994,-16.937837000000002,-3.5925400000000067,-0.19559935567151185
AOD,1.4100000000000001,320,-86.59710000000001,-77.43972,-9.157399999999996,-0.20844286073357074
AOD,1.4100000000000001,330,-183.19310000000007,-178.76948000000004,-4.423599999999965,-0.2230556482340585
AOD,1.4100000000000001,340,-177.80150000000003,-190.37467999999998,12.57310000000001,-0.2406807948868885
AOD,1.4100000000000001,350,-186.57089999999994,-212.63905,26.06819999999999,-0.25536398173892083
AOD,1.4100000000000001,360,-205.19459999999992,-247.49630000000002,42.30159999999995,-0.2694470059264741
AOD,1.51,310,-22.0674,-17.773666,-4.293730000000004,-0.2079903969800465
AOD,1.51,320,-93.1593,-81.26112,-11.898200000000003,-0.22151968697901922
AOD,1.51,330,-197.28040000000004,-187.59119000000004,-9.689199999999971,-0.23689822359596197
AOD,1.51,340,-191.66540000000003,-199.76907,8.103600000000029,-0.25547961152445087
AOD,1.51,350,-201.18939999999998,-223.13212000000001,21.942700000000002,-0.27102712381566885
AOD,1.51,360,-221.35299999999995,-259.70941000000005,38.35639999999995,-0.2859339743785448
SSA,0.6,310,-14.715239999999994,0.0,-14.715240000000005,0.09207329625574978
SSA,0.6,320,-63.36879999999999,0.0,-63.36879999999999,0.0968634274063413
SSA,0.6,330,-135.69760000000008,0.0,-135.6977,0.10079292193428141
SSA,0.6,340,-130.8243,0.0,-130.8243,0.10406344463048905
SSA,0.6,350,-134.7745,0.0,-134.7746,0.10718447128333591
SSA,0.6,360,-145.1058999999999,0.0,-145.10610000000003,0.109480206209287
SSA,0.65,310,-13.203349999999993,0.0,-13.203360000000004,0.08043321098549394
SSA,0.65,320,-56.80620000000002,0.0,-56.80609999999999,0.08453420753848917
SSA,0.65,330,-121.47400000000005,0.0,-121.47399999999999,0.08785800505173597
SSA,0.65,340,-116.92849999999999,0.0,-116.92849999999999,0.0906242052678497
SSA,0.65,350,-120.40679999999998,0.0,-120.40679999999998,0.09336028031280735
SSA,0.65,360,-129.5621,0.0,-129.56220000000002,0.09536755581952128
SSA,0.7000000000000001,310,-11.623569999999994,0.0,-11.623580000000004,0.06890919440784543
SSA,0.7000000000000001,320,-49.942200000000014,0.0,-49.942199999999985,0.0723181221392975
SSA,0.7000000000000001,330,-106.5951,0.0,-106.59509999999995,0.075034901647833
SSA,0.7000000000000001,340,-102.40700000000004,0.0,-102.40699999999998,0.07729734696625401
SSA,0.7000000000000001,350,-105.40819999999997,0.0,-105.4083,0.07964881209140967
SSA,0.7000000000000001,360,-113.3572999999999,0.0,-113.35740000000004,0.0813698037059345
SSA,0.7500000000000001,310,-9.970759999999999,0.0,-9.970760000000006,0.0574964148944746
SSA,0.7500000000000001,320,-42.75319999999999,0.0,-42.75319999999999,0.06020977416364731
SSA,0.7500000000000001,330,-91.00810000000001,0.0,-91.00809999999996,0.06231705161292561
SSA,0.7500000000000001,340,-87.21010000000001,0.0,-87.21010000000001,0.0640759904173126
SSA,0.7500000000000001,350,-89.72919999999999,0.0,-89.72919999999999,0.06604276634917078
SSA,0.7500000000000001,360,-96.44079999999997,0.0,-96.4409,0.06747945298321034
SSA,0.8000000000000002,310,-8.239169999999994,0.0,-8.239160000000005,0.04618967566750709
SSA,0.8000000000000002,320,-35.21260000000001,0.0,-35.21259999999998,0.0482031665437781
SSA,0.8000000000000002,330,-74.65390000000002,0.0,-74.654,0.04969767356681365
SSA,0.8000000000000002,340,-71.28160000000003,0.0,-71.28159999999997,0.050952508485920533
SSA,0.8000000000000002,350,-73.3137999999999,0.0,-73.31380000000001,0.052534020293745765
SSA,0.8000000000000002,360,-78.7553999999999,0.0,-78.75540000000001,0.05368823569795533
SSA,0.8500000000000002,310,-6.422429999999991,0.0,-6.422430000000006,0.03498390973662335
SSA,0.8500000000000002,320,-27.290599999999984,0.0,-27.290599999999984,0.036292115601754715
SSA,0.8500000000000002,330,-57.4661000000001,0.0,-57.46599999999995,0.03716973039401816
SSA,0.8500000000000002,340,-54.55849999999998,0.0,-54.558599999999956,0.03791909924716502
SSA,0.8500000000000002,350,-56.09929999999997,0.0,-56.0994,0.039114272933723104
SSA,0.8500000000000002,360,-60.23689999999999,0.0,-60.23700000000002,0.039987487732332405
SSA,0.9000000000000002,310,-4.51339999999999,0.0,-4.513400000000004,0.023873809589170847
SSA,0.9000000000000002,320,-18.95350000000002,0.0,-18.95349999999999,0.024469960953995784
SSA,0.9000000000000002,330,-39.3691,0.0,-39.36919999999998,0.024725422536384323
SSA,0.9000000000000002,340,-36.96980000000008,0.0,-36.96969999999999,0.024967668562745682
SSA,0.9000000000000002,350,-38.01490000000001,0.0,-38.014999999999986,0.025774761428409176
SSA,0.9000000000000002,360,-40.81299999999999,0.0,-40.81310000000002,0.026368123823266254
SSA,0.9500000000000003,310,-2.504009999999994,0.0,-2.504020000000004,0.012853608741341227
SSA,0.9500000000000003,320,-10.163400000000024,0.0,-10.163399999999996,0.012730014450608562
SSA,0.9500000000000003,330,-20.27780000000007,0.0,-20.27789999999999,0.012357001800238465
SSA,0.9500000000000003,340,-18.434200000000033,0.0,-18.434199999999976,0.012089141024714756
SSA,0.9500000000000003,350,-18.979999999999905,0.0,-18.980000000000018,0.012505993593811271
SSA,0.9500000000000003,360,-20.401599999999917,0.0,-20.401700000000005,0.012820359194154973
SSA,1.0000000000000004,310,-0.3852100000000007,0.0,-0.3852100000000007,0.001917603922817479
SSA,1.0000000000000004,320,-0.8770999999999844,0.0,-0.8770999999999844,0.0010650306267682152
SSA,1.0000000000000004,330,-0.09470000000010259,0.0,-0.0947999999999638,5.595176352152231e-05
SSA,1.0000000000000004,340,1.1403999999999996,0.0,1.1403999999999996,-0.0007256853684729503
SSA,1.0000000000000004,350,1.0973999999999933,0.0,1.0973000000000184,-0.0007022015217536537
SSA,1.0000000000000004,360,1.0910000000000082,0.0,1.0908000000000015,-0.0006663907512726719
DOY,0.0,310,-0.5700999999999965,0.6997999999999998,-1.269900000000007,0.012853650360803381
DOY,0.0,320,-1.782700000000034,3.1995000000000005,-4.982200000000006,0.012730065711371974
DOY,0.0,330,-1.9963000000000193,7.385999999999967,-9.382399999999961,0.012357020149729891
DOY,0.0,340,-0.22410000000002128,7.865499999999997,-8.089599999999962,0.012089163575321082
DOY,0.0,350,0.22640000000001237,8.785399999999981,-8.558899999999994,0.01250613271083395
DOY,0.0,360,0.8243000000001075,10.225500000000011,-9.401300000000049,0.012820371562237087
DOY,100.0,310,-0.8418899999999923,0.6014499999999998,-1.4433500000000024,0.012853634209441689
DOY,100.0,320,-2.9605999999999995,2.7498000000000076,-5.710399999999993,0.012730015296209984
DOY,100.0,330,-4.565700000000106,6.347999999999956,-10.913699999999949,0.012357133226725214
DOY,100.0,340,-2.7834000000000287,6.759999999999991,-9.543499999999995,0.012089069097908245
DOY,100.0,350,-2.4728999999999814,7.550700000000006,-10.023500000000013,0.01250613531361644
DOY,100.0,360,-2.1588999999999032,8.788299999999992,-10.947300000000041,0.012820298877628922
DOY,200.0,310,-2.8391699999999958,-0.12127999999999872,-2.717890000000004,0.012853604062462554
DOY,200.0,320,-11.61590000000001,-0.5544999999999902,-11.061299999999989,0.012730076735969764
DOY,200.0,330,-23.44620000000009,-1.2800000000000296,-22.166199999999947,0.012357125303645244
DOY,200.0,340,-21.590100000000007,-1.3630999999999744,-20.2269,0.012089183891803246
DOY,200.0,350,-22.308599999999956,-1.5225000000000364,-20.786099999999976,0.012506072392152123
DOY,200.0,360,-24.08019999999999,-1.772199999999998,-22.308100000000024,0.012820292536779465
DOY,300.0,310,0.32748000000000843,1.0245999999999995,-0.6971200000000053,0.012853723548628238
DOY,300.0,320,2.106999999999971,4.684399999999997,-2.5774999999999864,0.012729857717656445
DOY,300.0,330,6.488499999999931,10.813999999999965,-4.325499999999977,0.012357048686731043
DOY,300.0,340,8.227599999999939,11.51600000000002,-3.2883999999999673,0.012089101461375096
DOY,300.0,350,9.140700000000038,12.862899999999968,-3.7221999999999866,0.012506076610209138
DOY,300.0,360,10.675800000000095,14.97139999999996,-4.295700000000011,0.01282034589277603
